DONOR_ID|NATIONAL_ID|SURNAME1|SURNAME2|FORENAME|BIRTH_DATE|SEX|ABO|RH|SITE_CODE|FIRST_DONATION_DT|REC_STATUS
D000128|24800354A|AlcaÒiz|Catal‡|MarÌa|1986-05-01|M|B|NEG|VLC01||A
D000129|77226308H|Catal‡|N˙Òez|MarÌa|1984-01-12|M|B|NEG|LPA01||A
D000130|88775148B|MuÒoz|Catal‡|N˙ria|1971-07-07|M|O|POS|BCN02||A
D000131|41936423B|N˙Òez|N˙Òez|Aitana|1981-08-04|M|O|POS|MAD01||A
D000132|94545158X|Catal‡|MuÒoz|¡lvaro|1955-08-27|F|A|POS|BCN01||A
D000133|85020572H|Ib·Òez|Ferr·ndez|Aitana|1964-12-08|M|O|POS|MAD01||A
D000134|96851177C|AlcaÒiz|AlcaÒiz|MÛnica|1997-11-15|M|AB|POS|BCN01||A
D000135|52945020M|PeÒalver|Catal‡|IÒaki|1975-01-10|F|AB|POS|VLC01||A
D000136|32151743T|AlcaÒiz|RodrÌguez|MÛnica|1995-09-17|M|O|POS|LPA01||A
D000137|59164688V|Espin√≥s|VÌlchez|√Ålvaro|1994-04-06|F|O|POS|LPA01||A
D000138|99368554D|RodrÌguez|EspinÛs|BegoÒa|1981-02-28|M|AB|NEG|VLC01||A
D000139|64922769X|N˙Òez|Ib·Òez|¡ngel|1973-09-28|F|O|NEG|BCN01||A
D000140|80638585T|Bofill|N˙Òez|MarÌa|1996-02-24|M|B|NEG|LPA01||A
D000141|13674021X|N˙Òez|VÌlchez|Xavier|1957-10-20|M|AB|POS|MAD01||A
D000142|93294550Y|Puigdemont|S·ez|Joan|1978-02-28|M|B|NEG|LPA01||A
D000143|27207483M|Catal‡|Catal‡|¡lvaro|1962-07-08|F|A|NEG|BCN01||A
D000144|72056580B|MuÒoz|Bofill|¡ngel|1965-06-09|M|O|NEG|MAD01||A
D000145|40600971T|Ferr·ndez|Ib·Òez|Aitana|2000-06-17|M|B|POS|LPA01||A
D000146|14810531E|PeÒalver|N˙Òez|SofÌa|1991-09-25|M|B|NEG|BCN02||A
D000147|71281974Z|Ib·Òez|GÛmez|¡ngel|1962-05-11|M|AB|POS|MAD01||A
D000148|75985392X|VÌlchez|AlcaÒiz|¡lvaro|1977-01-21|F|A|POS|BCN02||A
D000149|64120312A|Puigdemont|Puigdemont|¡ngel|1985-12-20|F|O|POS|BCN01||A
D000150|92252130V|EspinÛs|Catal‡|SofÌa|1960-12-26|M|O|POS|LPA01||A
D000151|51540927X|N˙Òez|S·ez|Joan|1977-08-27|M|A|POS|LPA01||A
D000152|18261955P|PeÒalver|AlcaÒiz|Jordi|1973-12-12|M|O|POS|VLC01||A
D000153|61933044A|Puigdemont|Ferr·ndez|¡ngel|1962-03-28|M|A|NEG|VLC01||A
D000154|45595826Y|S·ez|MuÒoz|CristÚfol|1995-03-11|M|B|NEG|VLC01||A
D000155|56995832V|Bofill|AlcaÒiz|¡ngel|1957-04-17|M|B|NEG|BCN01||A
D000156|89057542W|PeÒalver|GÛmez|MartÌ|1963-03-16|M|A|NEG|LPA01||A
D000157|89026687N|Ib·Òez|PeÒalver|Xavier|1982-01-06|M|A|POS|VLC01||A
D000158|69922827Q|RodrÌguez|PeÒalver|BegoÒa|1996-07-25|F|A|POS|MAD01||A
D000159|74234734D|VÌlchez|RodrÌguez|MÛnica|1964-03-17|M|A|POS|MAD01||A
D000160|35886952E|GÛmez|GÛmez|Aitana|1960-02-12|F|B|NEG|MAD01||A
D000161|12075748T|S·ez|PeÒalver|¡lvaro|1971-05-17|F|A|POS|MAD01||A
D000162|30700636S|VÌlchez|EspinÛs|¡lvaro|2001-03-05|M|B|NEG|VLC01||A
D000163|63146902B|Puigdemont|RodrÌguez|IÒaki|1959-03-10|M|B|NEG|BCN01||A
D000164|43895598G|Catal‡|N˙Òez|BegoÒa|1986-12-06|M|AB|POS|VLC01||A
D000165|21633021W|GÛmez|S·ez|¡ngel|1989-07-26|F|O|POS|LPA01||A
D000166|87838876G|S·ez|Ferr·ndez|JosÈ|1992-06-25|M|O|POS|BCN01||A
D000167|44865392N|S·ez|GÛmez|MÛnica|1997-12-14|M|A|POS|MAD01||A
D000168|38036709G|GÛmez|GÛmez|Aitana|1971-05-24|F|O|POS|BCN02||A
D000169|64328334S|Puigdemont|AlcaÒiz|Aitana|1979-11-27|F|A|NEG|LPA01||A
D000170|91806275E|GÛmez|Catal‡|MartÌ|1988-10-27|F|AB|POS|MAD01||A
D000171|28417858N|S·ez|GÛmez|JosÈ|1985-09-06|F|AB|NEG|VLC01||A
D000172|27808557J|AlcaÒiz|Puigdemont|¡ngel|1975-09-04|M|AB|NEG|VLC01||A
D000173|42583777Z|N˙Òez|GÛmez|Xavier|1987-11-25|F|O|NEG|BCN02||A
D000174|50195667Y|PeÒalver|N˙Òez|¡ngel|1955-02-15|M|B|NEG|LPA01||A
D000175|40378540N|Ib·Òez|Puigdemont|Jordi|1957-12-17|M|O|POS|BCN01||A
D000176|66790030Z|S·ez|EspinÛs|MÛnica|1975-01-25|F|O|POS|BCN02||A
D000177|17648971C|Ferr·ndez|Ferr·ndez|LucÌa|1980-04-16|M|B|NEG|LPA01||A
D000178|91081601L|PeÒalver|Puigdemont|IÒaki|1960-03-28|M|B|NEG|BCN01||A
D000179|61378763D|VÌlchez|S·ez|MartÌ|2000-09-27|F|O|POS|LPA01||A
D000180|15632684N|Catal‡|N˙Òez|MartÌ|1985-02-17|F|AB|NEG|LPA01||A
D000181|77233845M|RodrÌguez|Bofill|MartÌ|1986-03-14|M|O|NEG|VLC01||A
D000182|93339756G|VÌlchez|Ib·Òez|MÛnica|1976-12-13|M|AB|NEG|VLC01||A
D000183|58073584Q|GÛmez|PeÒalver|N˙ria|1973-12-25|F|B|POS|MAD01||A
D000184|87791328X|Catal‡|Catal‡|Jordi|1990-02-02|F|AB|POS|VLC01||A
D000185|99454499K|Ib·Òez|AlcaÒiz|IÒaki|1990-01-13|M|B|POS|VLC01||A
D000186|86057606V|Ib·Òez|PeÒalver|LucÌa|2003-12-02|M|AB|POS|VLC01||A
D000187|40909554B|PeÒalver|Ib·Òez|Aitana|1989-12-24|M|O|NEG|BCN01||A
D000188|10268952X|Bofill|PeÒalver|IÒaki|1959-07-28|M|O|NEG|LPA01||A
D000189|86335258X|RodrÌguez|AlcaÒiz|¡ngel|1993-12-28|M|A|POS|BCN01||A
D000190|85001020W|Ferr·ndez|Ib·Òez|BegoÒa|1960-04-06|M|O|NEG|BCN01||A
D000191|86468368E|Puigdemont|Ib·Òez|Aitana|1979-03-13|M|B|NEG|BCN01||A
D000192|39988958P|Ferr·ndez|Catal‡|BegoÒa|1971-06-20|M|B|POS|LPA01||A
D000193|75994446F|VÌlchez|MuÒoz|Xavier|1975-10-22|M|AB|POS|BCN02||A
D000194|87117898J|GÛmez|Ferr·ndez|JosÈ|1999-10-01|M|A|NEG|BCN02||A
D000195|64073636G|GÛmez|AlcaÒiz|Jordi|1986-10-09|F|AB|NEG|VLC01||A
D000196|41669730S|EspinÛs|PeÒalver|LucÌa|1998-02-11|F|A|NEG|VLC01||A
D000197|48854603Y|Puigdemont|Puigdemont|¡ngel|1996-05-04|F|AB|NEG|MAD01||A
D000198|70917495V|MuÒoz|S·ez|LucÌa|1984-08-12|M|O|NEG|BCN02||A
D000199|80508643W|Ib·Òez|Catal‡|SofÌa|1977-11-01|F|AB|POS|MAD01||A
D000200|73309532W|S·ez|S·ez|Joan|1981-07-25|M|O|NEG|VLC01||A
D000201|88587427E|Ferr·ndez|RodrÌguez|IÒaki|1985-01-19|F|O|NEG|VLC01||A
D000202|78737435Z|EspinÛs|Puigdemont|MarÌa|1992-10-07|M|O|POS|MAD01||A
D000203|90200298N|PeÒalver|Ferr·ndez|¡ngel|1958-11-04|F|B|POS|LPA01||A
D000204|97683451M|EspinÛs|N˙Òez|SofÌa|1964-09-08|M|O|POS|MAD01||A
D000205|78457749H|RodrÌguez|Bofill|LucÌa|1985-10-09|F|B|NEG|BCN02||A
D000206|98821860C|Catal‡|S·ez|Joan|2002-10-26|M|O|POS|VLC01||A
D000207|72294565F|EspinÛs|RodrÌguez|¡lvaro|1981-02-23|M|A|NEG|VLC01||A
D000208|67505507K|Bofill|Catal‡|CristÚfol|1962-11-10|F|A|NEG|MAD01||A
D000209|76858051D|EspinÛs|Ferr·ndez|Aitana|1982-04-26|F|O|POS|BCN02||A
D000210|99250069A|GÛmez|Puigdemont|Jordi|1961-03-15|F|B|POS|BCN01||A
D000211|82308839H|N˙Òez|N˙Òez|LucÌa|1956-12-05|F|B|POS|BCN02||A
D000212|42173134Q|N˙Òez|RodrÌguez|Joan|1994-01-03|M|AB|POS|BCN02||A
D000213|21136705S|Ib·Òez|S·ez|N˙ria|1971-07-14|M|B|NEG|LPA01||A
D000214|38078512G|Bofill|MuÒoz|SofÌa|1957-01-11|M|B|POS|BCN02||A
D000215|23708150X|N˙Òez|Catal‡|MartÌ|1994-03-05|F|B|POS|LPA01||A
D000216|88515303V|RodrÌguez|RodrÌguez|LucÌa|1961-10-10|M|B|NEG|BCN01||A
D000217|13494975S|GÛmez|GÛmez|¡ngel|1987-03-27|F|AB|POS|VLC01||A
D000218|77884153K|Ib·Òez|AlcaÒiz|IÒaki|1982-11-18|M|O|NEG|BCN01||A
D000219|32462562B|MuÒoz|Ferr·ndez|Joan|1961-07-05|F|O|POS|BCN02||A
D000220|99794537M|Catal‡|S·ez|Joan|1992-09-11|M|B|NEG|LPA01||A
D000221|87657628W|Bofill|S·ez|SofÌa|1970-02-24|M|O|POS|LPA01||A
D000222|51450160M|Bofill|N˙Òez|¡lvaro|1980-07-02|F|A|POS|LPA01||A
D000223|78866840E|Bofill|EspinÛs|MÛnica|2001-06-04|F|AB|POS|BCN01||A
D000224|34338443Q|MuÒoz|Puigdemont|BegoÒa|2003-01-06|M|O|NEG|BCN02||A
D000225|52183109L|Catal‡|PeÒalver|SofÌa|1985-05-06|M|B|NEG|BCN01||A
D000226|31987054Z|MuÒoz|Ferr·ndez|Xavier|1995-06-21|M|B|POS|VLC01||A
D000227|21550883V|Bofill|GÛmez|IÒaki|1991-01-15|M|O|POS|VLC01||A
D000228|29671357A|AlcaÒiz|GÛmez|Xavier|1971-12-05|F|A|NEG|LPA01||A
D000229|21459802A|PeÒalver|Bofill|CristÚfol|2003-09-16|M|O|NEG|MAD01||A
D000230|13226823F|N˙Òez|Bofill|MartÌ|1961-06-20|F|O|POS|BCN01||A
D000231|68604313R|EspinÛs|Catal‡|MÛnica|1970-08-11|M|A|POS|LPA01||A
D000232|69223446S|EspinÛs|S·ez|CristÚfol|1973-03-21|M|AB|POS|LPA01||A
D000233|97942942W|MuÒoz|S·ez|MÛnica|1957-07-23|M|B|POS|BCN02||A
D000234|70425936C|Puigdemont|N˙Òez|Aitana|1957-05-10|F|B|POS|MAD01||A
D000235|20463936E|S·ez|N˙Òez|LucÌa|1983-08-08|F|O|NEG|BCN01||A
D000236|63185241A|Puigdemont|S·ez|JosÈ|1970-12-07|F|O|NEG|BCN02||A
D000237|20149424Z|S·ez|MuÒoz|CristÚfol|1977-02-18|F|O|NEG|BCN02||A
D000238|41726654H|S·ez|VÌlchez|Joan|1997-01-16|M|B|NEG|BCN01||A
D000239|67887123C|RodrÌguez|VÌlchez|Xavier|1955-04-19|M|A|NEG|VLC01||A
D000240|66683056R|Catal‡|AlcaÒiz|MarÌa|1967-10-07|F|AB|POS|BCN02||A
D000241|75430125R|PeÒalver|Ib·Òez|SofÌa|2003-10-08|M|A|NEG|LPA01||A
D000242|81323721H|MuÒoz|RodrÌguez|MartÌ|1957-12-19|M|A|POS|LPA01||A
D000243|37558646A|Catal‡|Ferr·ndez|LucÌa|1987-12-08|F|AB|POS|MAD01||A
D000244|97631271S|Bofill|Puigdemont|Jordi|1970-12-24|F|AB|NEG|BCN02||A
D000245|48429855E|PeÒalver|Ib·Òez|CristÚfol|1959-02-20|M|O|POS|BCN02||A
D000246|90655124L|Catal‡|RodrÌguez|MÛnica|1979-08-24|M|O|NEG|BCN01||A
D000247|46009965Q|Ib·Òez|Bofill|MarÌa|1989-05-28|M|O|POS|LPA01||A
D000248|71523669C|PeÒalver|VÌlchez|¡ngel|1964-12-21|M|B|POS|BCN01||A
D000249|36964427B|Catal‡|N˙Òez|Joan|1973-09-06|F|B|NEG|MAD01||A
D000250|49087890X|Ib·Òez|AlcaÒiz|¡lvaro|1957-12-12|F|A|NEG|BCN02||A
D000251|43541056B|Ferr·ndez|Ferr·ndez|BegoÒa|1991-10-18|M|B|POS|MAD01||A
D000252|15845598W|N˙Òez|EspinÛs|SofÌa|1980-10-10|M|AB|NEG|BCN02||A
D000253|72529772H|Ib·Òez|Ib·Òez|LucÌa|1989-06-20|M|AB|NEG|BCN02||A
D000254|42326245A|MuÒoz|Ferr·ndez|MÛnica|2001-07-20|M|O|NEG|BCN02||A
D000255|65648465B|Bofill|Bofill|¡lvaro|1992-10-27|F|O|NEG|LPA01||A
D000256|32687770X|Ib·Òez|MuÒoz|BegoÒa|1959-09-22|F|O|POS|VLC01||A
D000257|74043214J|S·ez|MuÒoz|SofÌa|1967-05-20|M|A|POS|BCN02||A
D000258|78038077Q|S·ez|Ib·Òez|Joan|1959-03-16|M|O|NEG|MAD01||A
D000259|24042205B|PeÒalver|Bofill|Xavier|1998-03-27|F|AB|POS|BCN01||A
D000260|41271016N|Bofill|Ib·Òez|CristÚfol|1956-07-18|F|A|POS|VLC01||A
D000261|53581728N|MuÒoz|PeÒalver|Jordi|2004-02-03|F|A|NEG|BCN02||A
D000262|64357706K|GÛmez|Catal‡|MarÌa|2002-08-27|M|B|NEG|BCN01||A
D000263|33872074D|S·ez|PeÒalver|N˙ria|1968-10-02|M|A|POS|BCN01||A
D000264|33351919W|RodrÌguez|Catal‡|MÛnica|1976-08-24|M|O|POS|MAD01||A
D000265|64220781R|N˙Òez|Bofill|MÛnica|1990-06-06|M|AB|NEG|VLC01||A
D000266|21876631T|GÛmez|AlcaÒiz|MarÌa|1981-06-14|M|A|NEG|VLC01||A
D000267|59160820W|Ib·Òez|Ferr·ndez|MÛnica|1967-12-01|F|O|POS|MAD01||A
D000268|44903145T|MuÒoz|Ferr·ndez|Aitana|1995-11-09|M|O|NEG|BCN02||A
D000269|11095017H|Ferr·ndez|Bofill|Aitana|1973-09-26|F|A|NEG|BCN01||A
D000270|81643063J|VÌlchez|S·ez|¡ngel|1982-01-05|M|AB|POS|LPA01||A
D000271|54735309H|GÛmez|PeÒalver|¡ngel|1996-05-26|F|AB|NEG|MAD01||A
D000272|55506311V|Puigdemont|S·ez|MartÌ|1972-09-13|F|A|NEG|MAD01||A
